MOI,Model,Hour,auroc,auprc,accuracy,sensitivity,specificity,n_moi,n_mock
MOI 5,Temporal,1.5,0.7278056412894376,0.7021660795526679,0.6743827160493827,0.6311728395061729,0.7175925925925926,648,648
MOI 5,Temporal,4.5,0.8777363397347965,0.8559356112502843,0.8016975308641975,0.7993827160493827,0.8040123456790124,648,648
MOI 5,Temporal,7.5,0.9896762117055327,0.9844550929192385,0.9537037037037037,0.9845679012345679,0.9228395061728395,648,648
MOI 5,Temporal,10.5,0.9946059099222679,0.9908637180327479,0.9807098765432098,1.0,0.9614197530864198,648,648
MOI 5,Temporal,13.5,0.9934056355738454,0.9878087925356129,0.9899691358024691,1.0,0.9799382716049383,648,648
MOI 5,Temporal,16.5,0.9956990169181528,0.9918494278825439,0.9938271604938271,1.0,0.9876543209876543,648,648
MOI 5,Temporal,19.5,0.9998880696540161,0.9998855846028848,0.9976851851851852,1.0,0.9953703703703703,648,648
MOI 5,Temporal,22.5,1.0,1.0,0.9992283950617284,1.0,0.9984567901234568,648,648
MOI 5,Temporal,25.5,1.0,1.0,1.0,1.0,1.0,648,648
MOI 5,Temporal,28.5,1.0,1.0,1.0,1.0,1.0,648,648
MOI 5,Temporal,31.5,1.0,1.0,1.0,1.0,1.0,648,648
MOI 5,Temporal,34.5,1.0,1.0,0.9992283950617284,1.0,0.9984567901234568,648,648
MOI 5,Temporal,37.5,1.0,1.0,1.0,1.0,1.0,648,648
MOI 5,Temporal,40.5,1.0,1.0,1.0,1.0,1.0,648,648
MOI 5,Temporal,43.5,1.0,1.0,1.0,1.0,1.0,648,648
MOI 5,Temporal,46.5,0.9968623780673678,0.9946958647661488,0.9490740740740741,1.0,0.8981481481481481,648,648
MOI 5,Single-frame,1.5,0.7497094573997867,0.7564444494938787,0.6219135802469136,0.7098765432098766,0.5339506172839507,648,648
MOI 5,Single-frame,4.5,0.9630915637860082,0.9373242600972709,0.7939814814814815,0.9737654320987654,0.6141975308641975,648,648
MOI 5,Single-frame,7.5,0.9907026367931718,0.9572676612432949,0.8804012345679012,1.0,0.7608024691358025,648,648
MOI 5,Single-frame,10.5,0.9907407407407407,0.9573047467822284,0.9436728395061729,1.0,0.8873456790123457,648,648
MOI 5,Single-frame,13.5,0.9907407407407408,0.9573047467822283,0.9760802469135802,1.0,0.9521604938271605,648,648
MOI 5,Single-frame,16.5,0.9953703703703705,0.9758187045078759,0.9768518518518519,1.0,0.9537037037037037,648,648
MOI 5,Single-frame,19.5,1.0,1.0,0.9768518518518519,1.0,0.9537037037037037,648,648
MOI 5,Single-frame,22.5,0.9999952370065539,0.9999952516619184,0.9776234567901234,1.0,0.9552469135802469,648,648
MOI 5,Single-frame,25.5,0.9999928555098307,0.9999928554984878,0.9938271604938271,1.0,0.9876543209876543,648,648
MOI 5,Single-frame,28.5,1.0,1.0,0.9976851851851852,1.0,0.9953703703703703,648,648
MOI 5,Single-frame,31.5,0.9999976185032768,0.9999976221727634,0.9992283950617284,1.0,0.9984567901234568,648,648
MOI 5,Single-frame,34.5,0.9999999999999999,1.0,0.9984567901234568,0.9969135802469136,1.0,648,648
MOI 5,Single-frame,37.5,1.0,1.0,0.9984567901234568,0.9969135802469136,1.0,648,648
MOI 5,Single-frame,40.5,0.9970136031092821,0.9947147603522215,0.9490740740740741,1.0,0.8981481481481481,648,648
MOI 5,Single-frame,43.5,0.7923954046639232,0.7658350256261484,0.6111111111111112,1.0,0.2222222222222222,648,648
MOI 5,Single-frame,46.5,0.4998713991769547,0.5002768549280178,0.5,1.0,0.0,648,648
MOI 1,Temporal,1.5,0.915555698445359,0.8959434934497066,0.8132716049382716,0.9089506172839507,0.7175925925925926,648,648
MOI 1,Temporal,4.5,0.9364628581771072,0.911732830820163,0.8665123456790124,0.9290123456790124,0.8040123456790124,648,648
MOI 1,Temporal,7.5,0.9773876886145405,0.9504523161784616,0.9429012345679012,0.9629629629629629,0.9228395061728395,648,648
MOI 1,Temporal,10.5,0.9869398719707361,0.9676110068829675,0.9753086419753086,0.9891975308641975,0.9614197530864198,648,648
MOI 1,Temporal,13.5,0.9871065767413503,0.9624873914744356,0.9822530864197531,0.9845679012345679,0.9799382716049383,648,648
MOI 1,Temporal,16.5,0.9890546410608138,0.9689022226948377,0.9876543209876543,0.9876543209876543,0.9876543209876543,648,648
